timestamps,delta_absolute_1,theta_absolute_1,alpha_absolute_1,beta_absolute_1,gamma_absolute_1
1531743885.9582224,0.206282501292,,,,
1531743886.0582812,,,0.8573236402519999,,
1531743886.0582945,,,,,-0.18815396668900006
1531743886.0582964,,,,0.301351874094,
1531743886.0582964,,0.162466143047,,,
1531743886.0583026,0.224026411144,,,,
1531743886.1583614,,,0.854255954092,,
1531743886.1583743,,,,,-0.187541874538
1531743886.1583765,,,,0.33261941902,
1531743886.1583767,,0.198431234342,,,
1531743886.158383,0.265767036487,,,,
1531743886.2584414,,,0.828595390157,,
1531743886.2584546,,,,,-0.191986335647
1531743886.2584565,,,,0.351318112156,
1531743886.258457,,0.226199329563,,,
1531743886.2584634,0.32335568313900004,,,,
1531743886.3585215,,,0.770594246057,,
1531743886.3585348,,,,,-0.196088130804
1531743886.3585365,,,,0.354902958263,
1531743886.3585367,,0.241900907089,,,
1531743886.3585432,0.381335681524,,,,
1531743886.4586015,,,0.7636908443000001,,
1531743886.4586148,,,,,-0.196787337663
1531743886.4586167,,,,0.346609581769,
1531743886.4586167,,0.244779244669,,,
1531743886.4586232,0.426450987942,,,,
1531743886.5586815,,,0.7713934527580001,,
1531743886.5586948,,,,,-0.196060371818
1531743886.5586967,,,,0.332350710481,
1531743886.558697,,0.230766915801,,,
1531743886.5587034,0.4555141142600001,,,,
1531743886.6587615,,,0.776912173472,,
1531743886.658775,,,,,-0.196226744106
1531743886.6587768,,,,0.319156280508,
1531743886.658777,,0.198368508944,,,
1531743886.6587837,0.473020869233,,,,
1531743886.7588418,,,0.7333578036310001,,
1531743886.7588553,,,,,-0.196610526039
1531743886.7588568,,,,0.314703935563,
1531743886.758857,,0.155588142486,,,
1531743886.7588634,0.488269597075,,,,
1531743886.8589218,,,0.7022737743590001,,
1531743886.8589349,,,,,-0.192868231961
1531743886.858937,,,,0.321444760127,
1531743886.8589373,,0.120288916542,,,
1531743886.8589435,0.507309003578,,,,
1531743886.9590018,,,0.6853898619959999,,
1531743886.9590154,,,,,-0.183471711051
1531743886.959017,,,,0.333783964841,
1531743886.9590173,,0.108023041713,,,
1531743886.9590235,0.526640894132,,,,
1531743887.059082,,,0.6853898619959999,,
1531743887.0590956,,,,,-0.172567583691
1531743887.0590973,,,,0.341921120535,
1531743887.0590973,,0.112005112378,,,
1531743887.0591035,0.5421576817930001,,,,
1531743887.1591618,,,0.756619701748,,
1531743887.1591756,,,,,-0.16564089148
1531743887.1591773,,,,0.33997781923,
1531743887.1591773,,0.115507212492,,,
1531743887.1591835,0.5529894796989999,,,,
1531743887.259242,,,0.8329981799449999,,
1531743887.2592554,,,,,-0.163395898953
1531743887.2592573,,,,0.32841583076,
1531743887.2592573,,0.113174243896,,,
1531743887.2592638,0.56203168707,,,,
1531743887.359322,,,0.866526939827,,
1531743887.3593357,,,,,-0.160998936338
1531743887.3593373,,,,0.309894302529,
1531743887.3593376,,0.107755361496,,,
1531743887.359344,0.571871734994,,,,
1531743887.4594026,,,0.8687490679850001,,
1531743887.4594154,,,,,-0.15277836502800002
1531743887.459417,,,,0.284937926334,
1531743887.4594176,,0.0997078281136,,,
1531743887.459424,0.580838400027,,,,
1531743887.5594823,,,0.867343054596,,
1531743887.5594954,,,,,-0.137692748788
1531743887.5594974,,,,0.256149743001,
1531743887.5594974,,0.08859179454600001,,,
1531743887.5595038,0.586387809926,,,,
1531743887.6595626,,,0.8545337919320001,,
1531743887.659576,,,,,-0.119978375069
1531743887.6595776,,,,0.232025974612,
1531743887.6595778,,0.0758262423475,,,
1531743887.659584,0.591713244314,,,,
1531743887.7596426,,,0.852355019676,,
1531743887.759656,,,,,-0.105494888533
1531743887.7596574,,,,0.220993289369,
1531743887.759658,,0.064476582527,,,
1531743887.7596645,0.6034108380650001,,,,
1531743887.8597224,,,0.8525705170829999,,
1531743887.859736,,,,,-0.0993989563622
1531743887.8597374,,,,0.223400186255,
1531743887.859738,,0.06019392472830001,,,
1531743887.8597445,0.624278130362,,,,
1531743887.9598026,,,0.848329029403,,
1531743887.9598162,,,,,-0.103495565475
1531743887.959818,,,,0.231948425583,
1531743887.959818,,0.0639314573097,,,
1531743887.9598243,0.654141683407,,,,
1531743888.0598824,,,0.825720989961,,
1531743888.0598962,,,,,-0.114303682422
1531743888.0598981,,,,0.241830378022,
1531743888.0598981,,0.0787841755104,,,
1531743888.0599046,0.6894738225779999,,,,
1531743888.1599627,,,0.811169391084,,
1531743888.1599762,,,,,-0.126133815405
1531743888.159978,,,,0.253126533805,
1531743888.1599786,,0.100909078111,,,
1531743888.1599846,0.722966224496,,,,
1531743888.2600427,,,0.811169391084,,
1531743888.2600565,,,,,-0.134449361037
1531743888.260058,,,,0.264157994041,
1531743888.2600586,,0.120626226467,,,
1531743888.2600644,0.745130731153,,,,
1531743888.3601227,,,0.811169391084,,
1531743888.3601365,,,,,-0.140001129895
1531743888.3601382,,,,0.269773739292,
1531743888.3601384,,0.128869446364,,,
1531743888.3601446,0.751766077719,,,,
1531743888.4602027,,,0.811169391084,,
1531743888.4602165,,,,,-0.14430954319599998
1531743888.4602182,,,,0.266928303614,
1531743888.4602187,,0.123317627297,,,
1531743888.4602249,0.749151256496,,,,
1531743888.5602832,,,0.811169391084,,
1531743888.5602968,,,,,-0.147429584936
1531743888.5602982,,,,0.25837514613,
1531743888.560299,,0.110222253733,,,
1531743888.5603044,0.744426587905,,,,
1531743888.6603632,,,0.811169391084,,
1531743888.6603768,,,,,-0.150004954084
1531743888.6603782,,,,0.250122743884,
1531743888.6603787,,0.0974872892525,,,
1531743888.6603847,0.740424361523,,,,
1531743888.7604432,,,0.811169391084,,
1531743888.7604568,,,,,-0.15621763777
1531743888.7604587,,,,0.248716884888,
1531743888.7604587,,0.0852378831742,,,
1531743888.7604651,0.7351401803059999,,,,
1531743888.8605232,,,0.7897261671179999,,
1531743888.8605368,,,,,-0.172392448938
1531743888.8605385,,,,0.256082104832,
